"displayname","registryname","displayversion","installdate","installedfor","installlocation","publisher","uninstallstring","modifypath","comments","urlinfoabout","urlupdateinfo","helplink","installsource","releasetype","displayicon","estimatedsize","registrytime","installfoldercreatedtime","installfoldermodifiedtime"
﻿"Prerequisites for SSDT ","{9169C939-ED01-446A-BD0C-29873BAF4E48}","11.0.2100.60","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{9169C939-ED01-446A-BD0C-29873BAF4E48}","MsiExec.exe /I{9169C939-ED01-446A-BD0C-29873BAF4E48}"," "," "," "," ","C:\ProgramData\Package Cache\{9169C939-ED01-446A-BD0C-29873BAF4E48}v11.0.2100.60\packages\SSDT\"," "," ","6516","1688627355","NULL","NULL"
﻿"Microsoft Visual Studio Professional 2012","{93489CA8-6656-33A0-A5AC-E0EDEDB17C3E}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation"," "," "," "," "," "," ","C:\ProgramData\Package Cache\{93489CA8-6656-33A0-A5AC-E0EDEDB17C3E}v11.0.50727\packages\professionalcore\Setup\"," "," ","810980","1688627225","NULL","NULL"
﻿"Windows SDK ARM Desktop Tools","{940042ED-CB90-8E03-BE68-DF8A76E661FD}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{940042ED-CB90-8E03-BE68-DF8A76E661FD}","MsiExec.exe /I{940042ED-CB90-8E03-BE68-DF8A76E661FD}"," "," "," "," ","C:\ProgramData\Package Cache\{940042ED-CB90-8E03-BE68-DF8A76E661FD}v10.1.19041.685\Installers\"," "," ","2812","1688629470","NULL","NULL"
﻿"Microsoft ASP.NET MVC 4 Runtime","{942CC691-5B98-42A3-8BC5-A246BA69D983}","4.0.20710.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{942CC691-5B98-42A3-8BC5-A246BA69D983}","MsiExec.exe /X{942CC691-5B98-42A3-8BC5-A246BA69D983}"," "," "," "," ","C:\ProgramData\Package Cache\{942CC691-5B98-42A3-8BC5-A246BA69D983}v4.0.20710.0\packages\WPT\"," ","C:\Windows\SysWOW64\\msiexec.exe","2120","1688627431","NULL","NULL"
﻿"Windows SDK Desktop Libs arm64","{9555AB64-6A00-776F-CA44-568E0E7B9632}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{9555AB64-6A00-776F-CA44-568E0E7B9632}","MsiExec.exe /I{9555AB64-6A00-776F-CA44-568E0E7B9632}"," "," "," "," ","C:\ProgramData\Package Cache\{9555AB64-6A00-776F-CA44-568E0E7B9632}v10.1.19041.685\Installers\"," "," ","76196","1688629473","NULL","NULL"
﻿"icecap_collectionresourcesx64","{9E898366-0026-48C1-AB3E-6BC4D38CC282}","16.10.31306","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{9E898366-0026-48C1-AB3E-6BC4D38CC282}","MsiExec.exe /I{9E898366-0026-48C1-AB3E-6BC4D38CC282}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.Icecap.Collection.Msi.Resources.Targeted,version=16.10.31306.167,chip=x64,language=zh-TW\"," "," ","48","1688629218","NULL","NULL"
﻿"Windows Desktop Extension SDK Contracts","{A34A6580-86EF-A26A-33A5-80E1919B7F75}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{A34A6580-86EF-A26A-33A5-80E1919B7F75}","MsiExec.exe /I{A34A6580-86EF-A26A-33A5-80E1919B7F75}"," "," "," "," ","C:\ProgramData\Package Cache\{A34A6580-86EF-A26A-33A5-80E1919B7F75}v10.1.19041.685\Installers\"," "," ","488","1688629429","NULL","NULL"
﻿"Microsoft Visual Studio 2012 SharePoint Developer Tools","{A3A6D5EA-B6B5-3C05-BDA8-EAB99C09CDDC}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{A3A6D5EA-B6B5-3C05-BDA8-EAB99C09CDDC}","MsiExec.exe /X{A3A6D5EA-B6B5-3C05-BDA8-EAB99C09CDDC}"," "," "," "," ","C:\ProgramData\Package Cache\{A3A6D5EA-B6B5-3C05-BDA8-EAB99C09CDDC}v11.0.50727\packages\SpTools\"," "," ","7684","1688627521","NULL","NULL"
﻿"Microsoft Visual C++ 2012 Compilers - ENU Resources","{A4366F69-CE22-4DB7-9C8C-46A5845AF997}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{A4366F69-CE22-4DB7-9C8C-46A5845AF997}","MsiExec.exe /X{A4366F69-CE22-4DB7-9C8C-46A5845AF997}"," "," "," "," ","C:\ProgramData\Package Cache\{A4366F69-CE22-4DB7-9C8C-46A5845AF997}v11.0.50727\packages\vc_compilercoreres\"," "," ","2544","1688627071","NULL","NULL"
﻿"Microsoft SQL Server System CLR Types","{A47FD1BF-A815-4A76-BE65-53A15BD5D25D}","10.50.1600.1","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{A47FD1BF-A815-4A76-BE65-53A15BD5D25D}","MsiExec.exe /I{A47FD1BF-A815-4A76-BE65-53A15BD5D25D}"," "," "," "," ","C:\ProgramData\Package Cache\{A47FD1BF-A815-4A76-BE65-53A15BD5D25D}v10.50.1600.1\packages\SQLSysClrTypes10_x86\"," "," ","2596","1688627510","NULL","NULL"
﻿"Windows SDK EULA","{A50A075D-973C-1867-4228-738205D555C8}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporations","MsiExec.exe /I{A50A075D-973C-1867-4228-738205D555C8}","MsiExec.exe /I{A50A075D-973C-1867-4228-738205D555C8}"," "," "," "," ","C:\ProgramData\Package Cache\{A50A075D-973C-1867-4228-738205D555C8}v10.1.19041.685\Installers\"," "," ","284","1688629353","NULL","NULL"
﻿"Universal CRT Redistributable","{A57CD0A6-4297-FD30-34A4-34758B6F5F69}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{A57CD0A6-4297-FD30-34A4-34758B6F5F69}","MsiExec.exe /I{A57CD0A6-4297-FD30-34A4-34758B6F5F69}"," "," "," "," ","C:\ProgramData\Package Cache\{A57CD0A6-4297-FD30-34A4-34758B6F5F69}v10.1.19041.685\Installers\"," "," ","5208","1688629416","NULL","NULL"
﻿"Windows SDK for Windows Store Apps","{A5E4C2C0-D963-40D6-8E5F-60A4DD995331}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{A5E4C2C0-D963-40D6-8E5F-60A4DD995331}","MsiExec.exe /I{A5E4C2C0-D963-40D6-8E5F-60A4DD995331}"," "," "," "," ","C:\ProgramData\Package Cache\{A5E4C2C0-D963-40D6-8E5F-60A4DD995331}v10.1.19041.685\Installers\"," "," ","96","1688629356","NULL","NULL"
﻿"VS Immersive Activate Helper","{A71406B5-E487-4B01-8E59-D466841350F5}","16.0.102.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{A71406B5-E487-4B01-8E59-D466841350F5}","MsiExec.exe /I{A71406B5-E487-4B01-8E59-D466841350F5}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Debugger.ImmersiveActivateHelper.Msi,version=16.10.31205.180\"," "," ","85","1688629232","NULL","NULL"
﻿"Universal General MIDI DLS Extension SDK","{A7E95C47-B5F4-110C-D27A-DECB03412B96}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{A7E95C47-B5F4-110C-D27A-DECB03412B96}","MsiExec.exe /I{A7E95C47-B5F4-110C-D27A-DECB03412B96}"," "," "," "," ","C:\ProgramData\Package Cache\{A7E95C47-B5F4-110C-D27A-DECB03412B96}v10.1.19041.685\Installers\"," "," ","3052","1688629416","NULL","NULL"
﻿"vs_devenvmsi","{AD0C92A4-1514-4BC1-A723-A272A8343924}","16.0.28329","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{AD0C92A4-1514-4BC1-A723-A272A8343924}","MsiExec.exe /I{AD0C92A4-1514-4BC1-A723-A272A8343924}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Devenv.Msi,version=16.0.28329.73\"," "," ","120","1688629123","NULL","NULL"
﻿"Microsoft Visual C++ 2012 Core Libraries","{AD1AEE2A-D9C0-3FAC-8D6B-B5E07B47257B}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{AD1AEE2A-D9C0-3FAC-8D6B-B5E07B47257B}","MsiExec.exe /X{AD1AEE2A-D9C0-3FAC-8D6B-B5E07B47257B}"," "," "," "," ","C:\ProgramData\Package Cache\{AD1AEE2A-D9C0-3FAC-8D6B-B5E07B47257B}v11.0.50727\packages\vc_librarycore\"," "," ","1043412","1688627088","NULL","NULL"
﻿"icecap_collectionresources","{AD8ECDC5-3619-4F2B-8BFE-CAE858C61E27}","16.10.31306","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{AD8ECDC5-3619-4F2B-8BFE-CAE858C61E27}","MsiExec.exe /I{AD8ECDC5-3619-4F2B-8BFE-CAE858C61E27}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.Icecap.Collection.Msi.Resources,version=16.10.31306.167,language=zh-TW\"," "," ","148","1688629218","NULL","NULL"
﻿"Microsoft Visual Studio 2012 Devenv Resources","{B1465D1D-6427-4CA1-AE29-8B699209E663}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{B1465D1D-6427-4CA1-AE29-8B699209E663}","MsiExec.exe /I{B1465D1D-6427-4CA1-AE29-8B699209E663}"," "," "," "," ","C:\ProgramData\Package Cache\{B1465D1D-6427-4CA1-AE29-8B699209E663}v11.0.50727\packages\vs_devenvLP\"," "," ","84","1688627174","NULL","NULL"
﻿"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","{B175520C-86A2-35A7-8619-86DC379688B9}","11.0.61030","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{B175520C-86A2-35A7-8619-86DC379688B9}","MsiExec.exe /X{B175520C-86A2-35A7-8619-86DC379688B9}","Caution. Removing this product might prevent some applications from running."," "," "," ","C:\ProgramData\Package Cache\{B175520C-86A2-35A7-8619-86DC379688B9}v11.0.61030\packages\vcRuntimeAdditional_x86\"," "," ","9900","1688626730","NULL","NULL"
﻿"WinRT Intellisense Desktop - Other Languages","{B42BF427-AFDB-C00F-DB60-6F51395D74A1}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{B42BF427-AFDB-C00F-DB60-6F51395D74A1}","MsiExec.exe /I{B42BF427-AFDB-C00F-DB60-6F51395D74A1}"," "," "," "," ","C:\ProgramData\Package Cache\{B42BF427-AFDB-C00F-DB60-6F51395D74A1}v10.1.19041.685\Installers\"," "," ","7188","1688629453","NULL","NULL"
﻿"LocalESPCui for en-us","{B5DA9D49-9BD8-0F2F-52FC-C7E66BC8D944}","8.59.25584","20230706","All User 32-bit"," ","Microsoft","MsiExec.exe /I{B5DA9D49-9BD8-0F2F-52FC-C7E66BC8D944}","MsiExec.exe /I{B5DA9D49-9BD8-0F2F-52FC-C7E66BC8D944}"," "," "," "," ","C:\ProgramData\Package Cache\{B5DA9D49-9BD8-0F2F-52FC-C7E66BC8D944}v8.59.25584\packages\EspC\"," "," ","92","1688627456","NULL","NULL"
﻿"Windows SDK Signing Tools","{B62A26BB-90A0-82FB-2DDC-3157ADF07833}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{B62A26BB-90A0-82FB-2DDC-3157ADF07833}","MsiExec.exe /I{B62A26BB-90A0-82FB-2DDC-3157ADF07833}"," "," "," "," ","C:\ProgramData\Package Cache\{B62A26BB-90A0-82FB-2DDC-3157ADF07833}v10.1.19041.685\Installers\"," "," ","8500","1688629354","NULL","NULL"
﻿"Microsoft Web Developer Tools - Visual Studio 2012","{B96FCD4F-6EDD-4258-8A6D-0FCEA8445E3E}","1.0.30710.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{B96FCD4F-6EDD-4258-8A6D-0FCEA8445E3E}","MsiExec.exe /I{B96FCD4F-6EDD-4258-8A6D-0FCEA8445E3E}"," "," "," "," ","C:\ProgramData\Package Cache\{B96FCD4F-6EDD-4258-8A6D-0FCEA8445E3E}v1.0.30710.0\packages\WPT\"," "," ","46952","1688627412","NULL","NULL"
﻿"Microsoft Visual Studio 2012 SharePoint Developer Tools ENU Language Pack","{B9F35D86-242E-3FA4-B9F8-A982E0DF918D}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{B9F35D86-242E-3FA4-B9F8-A982E0DF918D}","MsiExec.exe /X{B9F35D86-242E-3FA4-B9F8-A982E0DF918D}"," "," "," "," ","C:\ProgramData\Package Cache\{B9F35D86-242E-3FA4-B9F8-A982E0DF918D}v11.0.50727\packages\SpTools\"," "," ","1540","1688627523","NULL","NULL"
﻿"Microsoft Portable Library Multi-Targeting Pack Language Pack - enu","{BAD0254F-9BDB-3D14-A5AC-9C0EF51F3D09}","11.0.50709.17929","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{BAD0254F-9BDB-3D14-A5AC-9C0EF51F3D09}","MsiExec.exe /X{BAD0254F-9BDB-3D14-A5AC-9C0EF51F3D09}"," "," "," "," ","C:\ProgramData\Package Cache\{BAD0254F-9BDB-3D14-A5AC-9C0EF51F3D09}v11.0.50709.17929\Packages\PortableLibrary\enu\"," "," ","26476","1688627185","NULL","NULL"
﻿"WinRT Intellisense Desktop - en-us","{BCF7CA0F-E53C-2A4F-B128-A751EC9A1016}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{BCF7CA0F-E53C-2A4F-B128-A751EC9A1016}","MsiExec.exe /I{BCF7CA0F-E53C-2A4F-B128-A751EC9A1016}"," "," "," "," ","C:\ProgramData\Package Cache\{BCF7CA0F-E53C-2A4F-B128-A751EC9A1016}v10.1.19041.685\Installers\"," "," ","724","1688629425","NULL","NULL"
﻿"Universal CRT Tools x86","{BD75F257-50A4-E0CD-9942-C3550CA3E66A}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{BD75F257-50A4-E0CD-9942-C3550CA3E66A}","MsiExec.exe /I{BD75F257-50A4-E0CD-9942-C3550CA3E66A}"," "," "," "," ","C:\ProgramData\Package Cache\{BD75F257-50A4-E0CD-9942-C3550CA3E66A}v10.1.19041.685\Installers\"," "," ","1480","1688629423","NULL","NULL"
﻿"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","{BD95A8CD-1D9F-35AD-981A-3E7925026EBB}","11.0.61030","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{BD95A8CD-1D9F-35AD-981A-3E7925026EBB}","MsiExec.exe /X{BD95A8CD-1D9F-35AD-981A-3E7925026EBB}","Caution. Removing this product might prevent some applications from running."," "," "," ","C:\ProgramData\Package Cache\{BD95A8CD-1D9F-35AD-981A-3E7925026EBB}v11.0.61030\packages\vcRuntimeMinimum_x86\"," "," ","1772","1688626730","NULL","NULL"
﻿"LocalESPC","{BDBE5D2A-AAB7-77BD-7A0E-5006665CE7C6}","8.59.25584","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{BDBE5D2A-AAB7-77BD-7A0E-5006665CE7C6}","MsiExec.exe /I{BDBE5D2A-AAB7-77BD-7A0E-5006665CE7C6}"," "," "," "," ","C:\ProgramData\Package Cache\{BDBE5D2A-AAB7-77BD-7A0E-5006665CE7C6}v8.59.25584\packages\EspC\"," "," ","5588","1688627456","NULL","NULL"
﻿"Microsoft Visual Studio Ultimate 2012 XAML UI Designer Core","{C1BE4600-7D15-3D1E-8AA2-B3241DB1D063}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation"," "," "," "," "," "," ","C:\ProgramData\Package Cache\{C1BE4600-7D15-3D1E-8AA2-B3241DB1D063}v11.0.50727\packages\Bliss_Core\"," "," ","27984","1688627324","NULL","NULL"
﻿"Microsoft Visual Studio 2012 SDK - ENU","{C1E52442-C3E6-3801-95EC-011A0561A796}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{C1E52442-C3E6-3801-95EC-011A0561A796}","MsiExec.exe /I{C1E52442-C3E6-3801-95EC-011A0561A796}"," "," "," "," ","C:\ProgramData\Package Cache\{C1E52442-C3E6-3801-95EC-011A0561A796}v11.0.50727\packages\VSSDK\"," "," ","94972","1688627970","NULL","NULL"
﻿"Microsoft Portable Library Multi-Targeting Pack","{C4CAD994-6EA2-3121-8352-DA593150B322}","11.0.50709.17929","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{C4CAD994-6EA2-3121-8352-DA593150B322}","MsiExec.exe /X{C4CAD994-6EA2-3121-8352-DA593150B322}"," "," "," "," ","C:\ProgramData\Package Cache\{C4CAD994-6EA2-3121-8352-DA593150B322}v11.0.50709.17929\Packages\PortableLibrary\"," "," ","17688","1688627183","NULL","NULL"
﻿"Windows Runtime Intellisense Content - en-us","{C81452EB-CBCF-B8EB-3124-48C5B3D506B0}","8.59.25584","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{C81452EB-CBCF-B8EB-3124-48C5B3D506B0}","MsiExec.exe /I{C81452EB-CBCF-B8EB-3124-48C5B3D506B0}"," "," "," "," ","C:\ProgramData\Package Cache\{C81452EB-CBCF-B8EB-3124-48C5B3D506B0}v8.59.25584\packages\Windows_SDK\"," "," ","3584","1688627488","NULL","NULL"
﻿"Windows SDK Desktop Headers x64","{C81D239D-863A-D4B4-3562-BC8D3D7C271E}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{C81D239D-863A-D4B4-3562-BC8D3D7C271E}","MsiExec.exe /I{C81D239D-863A-D4B4-3562-BC8D3D7C271E}"," "," "," "," ","C:\ProgramData\Package Cache\{C81D239D-863A-D4B4-3562-BC8D3D7C271E}v10.1.19041.685\Installers\"," "," ","40","1688629464","NULL","NULL"
﻿"Windows SDK Desktop Headers arm64","{C88797F9-0AD8-E022-5BBB-596BC78D4C76}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{C88797F9-0AD8-E022-5BBB-596BC78D4C76}","MsiExec.exe /I{C88797F9-0AD8-E022-5BBB-596BC78D4C76}"," "," "," "," ","C:\ProgramData\Package Cache\{C88797F9-0AD8-E022-5BBB-596BC78D4C76}v10.1.19041.685\Installers\"," "," ","84","1688629471","NULL","NULL"
﻿"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","{ca67548a-5ebe-413a-b50c-4b9ceb6d66c6}","11.0.61030.0"," ","All User 32-bit"," ","Microsoft Corporation"," "," "," "," "," "," "," "," ","C:\ProgramData\Package Cache\{ca67548a-5ebe-413a-b50c-4b9ceb6d66c6}\vcredist_x64.exe,0","21014","1688626745","NULL","NULL"
﻿"Windows Team Extension SDK","{CE7E4A6A-45A2-2968-4B34-D0D4CFCC0E1D}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{CE7E4A6A-45A2-2968-4B34-D0D4CFCC0E1D}","MsiExec.exe /I{CE7E4A6A-45A2-2968-4B34-D0D4CFCC0E1D}"," "," "," "," ","C:\ProgramData\Package Cache\{CE7E4A6A-45A2-2968-4B34-D0D4CFCC0E1D}v10.1.19041.685\Installers\"," "," ","168","1688629427","NULL","NULL"
﻿"Microsoft .NET Framework 4 Multi-Targeting Pack","{CFEF48A8-BFB8-3EAC-8BA5-DE4F8AA267CE}","4.0.30319","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{CFEF48A8-BFB8-3EAC-8BA5-DE4F8AA267CE}","MsiExec.exe /I{CFEF48A8-BFB8-3EAC-8BA5-DE4F8AA267CE}"," "," "," "," ","C:\ProgramData\Package Cache\{CFEF48A8-BFB8-3EAC-8BA5-DE4F8AA267CE}v4.0.30319\packages\NetFxDTP\"," "," ","85456","1688627304","NULL","NULL"
﻿"Update for  (KB2504637)","{CFEF48A8-BFB8-3EAC-8BA5-DE4F8AA267CE}.KB2504637","1"," ","All User 32-bit"," ","Microsoft Corporation"," "," ","This update is for .
If you later install a more recent service pack, this update will be uninstalled automatically.
For more information, visit http://support.microsoft.com/kb/2504637.","http://support.microsoft.com"," ","http://support.microsoft.com/kb/2504637"," ","Update"," ","0","1688627304","NULL","NULL"
﻿"Microsoft Visual Studio Professional 2012 - ENU","{CFFDC0EC-6924-3347-B047-13339EDBEC28}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation"," "," "," "," "," "," ","C:\ProgramData\Package Cache\{CFFDC0EC-6924-3347-B047-13339EDBEC28}v11.0.50727\packages\professionallp\"," "," ","390412","1688627298","NULL","NULL"
﻿"Windows Software Development Kit for Windows Store Apps","{D11F66FF-82B3-DDB8-1146-525370552BE1}","8.59.25584","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{D11F66FF-82B3-DDB8-1146-525370552BE1}","MsiExec.exe /I{D11F66FF-82B3-DDB8-1146-525370552BE1}"," "," "," "," ","C:\ProgramData\Package Cache\{D11F66FF-82B3-DDB8-1146-525370552BE1}v8.59.25584\packages\Windows_SDK\"," "," ","152108","1688627477","NULL","NULL"
﻿"Windows Desktop Extension SDK","{D3B54AAA-2B64-5DE2-EA64-9900152E5282}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{D3B54AAA-2B64-5DE2-EA64-9900152E5282}","MsiExec.exe /I{D3B54AAA-2B64-5DE2-EA64-9900152E5282}"," "," "," "," ","C:\ProgramData\Package Cache\{D3B54AAA-2B64-5DE2-EA64-9900152E5282}v10.1.19041.685\Installers\"," "," ","52","1688629429","NULL","NULL"
﻿"Microsoft System CLR Types for SQL Server 2019 CTP2.2","{D47A6F01-B586-497B-BF13-F3D62BDDE302}","15.0.1200.24","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{D47A6F01-B586-497B-BF13-F3D62BDDE302}","MsiExec.exe /I{D47A6F01-B586-497B-BF13-F3D62BDDE302}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\sqlsysclrtypes,version=16.0.62205.5200,chip=x86,language=zh-TW\"," "," ","4444","1688629188","NULL","NULL"
﻿"Microsoft SQL Server 2012 Management Objects ","{DA1C1761-5F4F-4332-AB9D-29EDF3F8EA0A}","11.0.2100.60","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{DA1C1761-5F4F-4332-AB9D-29EDF3F8EA0A}","MsiExec.exe /I{DA1C1761-5F4F-4332-AB9D-29EDF3F8EA0A}"," "," "," "," ","C:\ProgramData\Package Cache\{DA1C1761-5F4F-4332-AB9D-29EDF3F8EA0A}v11.0.2100.60\packages\SharedManagementObjects_x86\"," "," ","25568","1688627515","NULL","NULL"
﻿"Microsoft ASP.NET MVC 3","{DCDEC776-BADD-48B9-8F9A-DFF513C3D7FA}","3.0.20105.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{DCDEC776-BADD-48B9-8F9A-DFF513C3D7FA}","MsiExec.exe /X{DCDEC776-BADD-48B9-8F9A-DFF513C3D7FA}"," "," "," "," ","C:\ProgramData\Package Cache\{DCDEC776-BADD-48B9-8F9A-DFF513C3D7FA}v3.0.20105.0\packages\WPT\"," ","C:\Windows\SysWOW64\\msiexec.exe","1028","1688627419","NULL","NULL"
﻿"Windows SDK AddOn","{E18618EC-D9DB-4BCE-B382-85ADA2CBB340}","10.1.0.0","20230703","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{E18618EC-D9DB-4BCE-B382-85ADA2CBB340}","MsiExec.exe /I{E18618EC-D9DB-4BCE-B382-85ADA2CBB340}"," "," "," "," ","C:\ProgramData\Package Cache\{E18618EC-D9DB-4BCE-B382-85ADA2CBB340}v10.1.0.0\Redistributable\10.1.0.0\"," "," ","152","1688366563","NULL","NULL"
﻿"Microsoft Silverlight 5 SDK","{E1FBB3D4-ADB0-4949-B101-855DA061C735}","5.0.61118.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{E1FBB3D4-ADB0-4949-B101-855DA061C735}","MsiExec.exe /X{E1FBB3D4-ADB0-4949-B101-855DA061C735}"," "," "," "," ","C:\ProgramData\Package Cache\{E1FBB3D4-ADB0-4949-B101-855DA061C735}v5.0.61118.0\packages\Silverlight\5.0_SDK\"," "," ","79392","1688627533","NULL","NULL"
﻿"Microsoft System CLR Types for SQL Server 2012","{E2082604-4BA5-44BB-BBFB-AF0F3CB8C6AB}","11.0.2100.60","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{E2082604-4BA5-44BB-BBFB-AF0F3CB8C6AB}","MsiExec.exe /I{E2082604-4BA5-44BB-BBFB-AF0F3CB8C6AB}"," "," "," "," ","C:\ProgramData\Package Cache\{E2082604-4BA5-44BB-BBFB-AF0F3CB8C6AB}v11.0.2100.60\packages\SQLSysClrTypes_x86\"," "," ","2356","1688627509","NULL","NULL"
﻿"vs_tipsmsi","{E208E682-50EE-4F2F-9860-C91B906B8A03}","16.0.28329","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{E208E682-50EE-4F2F-9860-C91B906B8A03}","MsiExec.exe /I{E208E682-50EE-4F2F-9860-C91B906B8A03}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.TestTools.TP.Legacy.Tips.Msi,version=16.0.28329.73\"," "," ","42","1688629213","NULL","NULL"
﻿"vs_Graphics_Singletonx86","{E42F1CFF-80C7-4865-B378-1EFCF312C1BF}","16.10.31213","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{E42F1CFF-80C7-4865-B378-1EFCF312C1BF}","MsiExec.exe /I{E42F1CFF-80C7-4865-B378-1EFCF312C1BF}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Graphics.Msi,version=16.10.31213.239,chip=x86\"," "," ","3535","1688629244","NULL","NULL"
﻿"Microsoft LightSwitch for Visual Studio 2012 CoreRes - ENU","{E4ADE757-7FE9-322D-9CAE-C77D77A2D2BF}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{E4ADE757-7FE9-322D-9CAE-C77D77A2D2BF}","MsiExec.exe /I{E4ADE757-7FE9-322D-9CAE-C77D77A2D2BF}"," "," "," "," ","C:\ProgramData\Package Cache\{E4ADE757-7FE9-322D-9CAE-C77D77A2D2BF}v11.0.50727\packages\lightswitchcoreres\"," "," ","592","1688627323","NULL","NULL"
﻿"Microsoft Web Deploy dbSqlPackage Provider - enu","{E4C33F5B-1B2F-466E-957E-B274F08151A0}","10.3.20225.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{E4C33F5B-1B2F-466E-957E-B274F08151A0}","MsiExec.exe /X{E4C33F5B-1B2F-466E-957E-B274F08151A0}"," "," "," "," ","C:\ProgramData\Package Cache\{E4C33F5B-1B2F-466E-957E-B274F08151A0}v10.3.20225.0\packages\SSDT\"," "," ","32","1688627614","NULL","NULL"
